method,K,method_acc,baseline_mean,baseline_std,p_value,complication,prevalence
FIBR_JELUD_II_perfeat,3,0.5,0.4988964542318367,0.015723309931828862,0.71,FIBR_JELUD,0.04176470588235294
FIBR_JELUD_II_perfeat,5,0.5,0.49982457050467316,0.00829177664668956,0.68,FIBR_JELUD,0.04176470588235294
FIBR_JELUD_II_perfeat,10,0.5,0.49962774189643694,0.002256882816423773,0.46,FIBR_JELUD,0.04176470588235294
FIBR_JELUD_II_perfeat,16,0.5,0.5010361926006623,0.004900887642291065,0.39,FIBR_JELUD,0.04176470588235294
FIBR_JELUD_II_joint,3,0.5,0.4988964542318367,0.015723309931828862,0.71,FIBR_JELUD,0.04176470588235294
FIBR_JELUD_II_joint,5,0.5061214432080513,0.49982457050467316,0.00829177664668956,0.03,FIBR_JELUD,0.04176470588235294
FIBR_JELUD_II_joint,10,0.5205128870213299,0.49962774189643694,0.002256882816423773,0.0,FIBR_JELUD,0.04176470588235294
FIBR_JELUD_II_joint,16,0.4990791896869245,0.5010361926006623,0.004900887642291065,0.89,FIBR_JELUD,0.04176470588235294
FIBR_JELUD_DII_L1,3,0.5,0.4988964542318367,0.015723309931828862,0.71,FIBR_JELUD,0.04176470588235294
FIBR_JELUD_DII_L1,5,0.5,0.49982457050467316,0.00829177664668956,0.68,FIBR_JELUD,0.04176470588235294
FIBR_JELUD_DII_L1,10,0.49938612645794966,0.49962774189643694,0.002256882816423773,0.82,FIBR_JELUD,0.04176470588235294
FIBR_JELUD_DII_L1,16,0.49938612645794966,0.5010361926006623,0.004900887642291065,0.7,FIBR_JELUD,0.04176470588235294
A_V_BLOK_MI_perfeat,3,0.4853391848458639,0.49922018985381894,0.007545682292138876,0.99,A_V_BLOK,0.033529411764705884
A_V_BLOK_MI_perfeat,5,0.5072503230077628,0.4992937074884411,0.013923907803402517,0.04,A_V_BLOK,0.033529411764705884
A_V_BLOK_MI_perfeat,10,0.5078589657344823,0.502565535872548,0.008985932071108677,0.11,A_V_BLOK,0.033529411764705884
A_V_BLOK_MI_perfeat,16,0.49756542909312235,0.5030578424149235,0.008847871491039007,1.0,A_V_BLOK,0.033529411764705884
A_V_BLOK_II_perfeat,3,0.5,0.49922018985381894,0.007545682292138876,0.94,A_V_BLOK,0.033529411764705884
A_V_BLOK_II_perfeat,5,0.5,0.4992937074884411,0.013923907803402517,0.85,A_V_BLOK,0.033529411764705884
A_V_BLOK_II_perfeat,10,0.5,0.502565535872548,0.008985932071108677,0.7,A_V_BLOK,0.033529411764705884
A_V_BLOK_II_perfeat,16,0.5,0.5030578424149235,0.008847871491039007,0.59,A_V_BLOK,0.033529411764705884
A_V_BLOK_II_joint,3,0.5,0.49922018985381894,0.007545682292138876,0.94,A_V_BLOK,0.033529411764705884
A_V_BLOK_II_joint,5,0.5,0.4992937074884411,0.013923907803402517,0.85,A_V_BLOK,0.033529411764705884
